Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
501,"<small>L</small>-Arabinitol",,"C<sub>5</sub>H<sub>12</sub>O<sub>5</sub>","7643-75-6",1720521,"152.146",,"102.5",,,,,,,"vs H<sub>2</sub>O; sl EtOH; i eth",
502,"α-<small>D</small>-Arabinopyranose",,"C<sub>5</sub>H<sub>10</sub>O<sub>5</sub>","608-45-7",1722184,"150.130","cry (MeOH)","155.5",,,"1.585<sup>25</sup>",,,,,
503,"6-<i>O</i>-α-<small>L</small>-Arabinopyranosyl-<small>D</small>-glucose","Vicianose","C<sub>11</sub>H<sub>20</sub>O<sub>10</sub>","14116-69-9",91376,"312.271","nd (dil al)","210 dec",,,,,,,"vs H<sub>2</sub>O",
504,"<small>DL</small>-Arabinose",,"C<sub>5</sub>H<sub>10</sub>O<sub>5</sub>","20235-19-2",1723086,"150.130","pr, nd (al)","164.5",,,"1.585<sup>20</sup>",,,,"vs H<sub>2</sub>O; sl EtOH; i eth, bz",
505,"α-<small>D</small>-Arabinose",,"C<sub>5</sub>H<sub>10</sub>O<sub>5</sub>","31178-68-4",,"150.130",,156,,,"1.585<sup>25</sup>",,,,"vs H<sub>2</sub>O; sl EtOH; i eth, ace, MeOH",
506,"β-<small>D</small>-Arabinose",,"C<sub>5</sub>H<sub>10</sub>O<sub>5</sub>","31178-69-5",,"150.130",,156,,,"1.625<sup>25</sup>",,,,"vs H<sub>2</sub>O; sl EtOH; i eth, ace, MeOH",
507,"Aramite",,"C<sub>15</sub>H<sub>23</sub>ClO<sub>4</sub>S","140-57-8",2509312,"334.860",,"-37.3",,"195<sup>2</sup>","1.143<sup>20</sup>","1.5100<sup>20</sup>",,,"vs ace, bz, eth, EtOH",
508,"Arecaidine","1,2,5,6-Tetrahydro-1-methyl-3-pyridinecarboxylic acid","C<sub>7</sub>H<sub>11</sub>NO<sub>2</sub>","499-04-7",112366,"141.168","pl (dil al) tab (dil al +1w)","232 dec",,,,,,,"vs H<sub>2</sub>O; i EtOH, eth, bz, chl",
509,"Arecoline",,"C<sub>8</sub>H<sub>13</sub>NO<sub>2</sub>","63-75-2",123045,"155.195",,,209,,"1.0485<sup>20</sup>","1.486<sup>20</sup>",,,"msc H<sub>2</sub>O, EtOH, eth; s chl",
510,"<small>D</small>-Arginine",,"C<sub>6</sub>H<sub>14</sub>N<sub>4</sub>O<sub>2</sub>","7200-25-1",1725414,"174.201",,"217 dec",,,,,,,"i H<sub>2</sub>O, EtOH, eth, bz",
511,"<small>L</small>-Arginine",,"C<sub>6</sub>H<sub>14</sub>N<sub>4</sub>O<sub>2</sub>","74-79-3",1725413,"174.201",,"260(3)",,,,,"183<sup>25</sup>",,"s H<sub>2</sub>O; sl EtOH; i eth",
512,"<small>L</small>-Arginine, monohydrochloride",,"C<sub>6</sub>H<sub>15</sub>ClN<sub>4</sub>O<sub>2</sub>","1119-34-2",3631658,"210.662",,219,,,,,,,,
513,"Artemisin","8-Hydroxysantonin","C<sub>15</sub>H<sub>18</sub>O<sub>4</sub>","481-05-0",,"262.302","cry",203,,"260<sup>0.1</sup>",,,,,"sl H<sub>2</sub>O, chl; s AcOEt; i peth",
514,"Ascaridole","1-Methyl-4-isopropyl-2,3-dioxabicyclo[2.2.2]oct-5-ene","C<sub>10</sub>H<sub>16</sub>O<sub>2</sub>","512-85-6",121382,"168.233","liq","3.3","exp","115<sup>15</sup>; 39<sup>0.2</sup>","1.0103<sup>20</sup>","1.4769<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, ace, bz, tol; sl chl",
515,"<small>L</small>-Ascorbic acid","Vitamin C","C<sub>6</sub>H<sub>8</sub>O<sub>6</sub>","50-81-7",84272,"176.124",,"191(4)",,,"1.65<sup>25</sup>",,"337<sup>25</sup>",,"vs H<sub>2</sub>O; s EtOH; i eth, bz, chl, peth",
