Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
351,"2-Amino-1,4-naphthalenedione",,"C<sub>10</sub>H<sub>7</sub>NO<sub>2</sub>","2348-81-4",2088736,"173.169",,207,,,,,,,"i H<sub>2</sub>O, alk; s EtOH, eth, HOAc",
352,"7-Amino-1,3-naphthalenedisulfonic acid","Amido-G-Acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","86-65-7",2669649,"303.311","mcl pr or nd (w+4)",274,,,,,,,"vs H<sub>2</sub>O, EtOH",
353,"2-Amino-1,5-naphthalenedisulfonic acid","2-Naphthylamine-1,5-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","117-62-4",2888645,"303.311",,">300",,,,,,,,
354,"4-Amino-1,6-naphthalenedisulfonic acid","1-Naphthylamine-4,7-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","85-75-6",3105430,"303.311",,,,,,,,,"vs H<sub>2</sub>O",
355,"4-Amino-1,7-naphthalenedisulfonic acid","1-Naphthylamine-4,6-disulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>6</sub>S<sub>2</sub>","85-74-5",2888641,"303.311",,,,,,,,,"vs H<sub>2</sub>O, EtOH",
356,"2-Amino-1-naphthalenesulfonic acid","2-Naphthylamine-1-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","81-16-3",613084,"223.248","sc(hot w)",,,,,,,,"s DMSO",
357,"4-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-4-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","84-86-6",1971299,"223.248","wh nd (w+1/2) red-br cry","dec",,,"1.6703<sup>25</sup>",,,,"i H<sub>2</sub>O; sl EtOH; s MeOH, py",
358,"5-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-5-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","84-89-9",2214149,"223.248","wh cry",,,,,,,,"s H<sub>2</sub>O; i eth",
359,"6-Amino-1-naphthalenesulfonic acid","2-Naphthylamine-5-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","81-05-0",2695332,"223.248","nd(w)",,,,,,,,"i H<sub>2</sub>O, EtOH, eth",
360,"7-Amino-1-naphthalenesulfonic acid","Badische acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","86-60-2",2695330,"223.248","nd (w+1), pl (aq ace)",,,,,,,,"vs HOAc",
361,"8-Amino-1-naphthalenesulfonic acid","1-Naphthylamine-8-sulfonic acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","82-75-7",983230,"223.248","nd",,,,,,,,"vs gl HOAc",
362,"6-Amino-2-naphthalenesulfonic acid","Bronner acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","93-00-5",,"223.248","lf",,,,,,,,"i cold H<sub>2</sub>O; sl hot H<sub>2</sub>O",
363,"8-Amino-2-naphthalenesulfonic acid","1,7-Cleve's acid","C<sub>10</sub>H<sub>9</sub>NO<sub>3</sub>S","119-28-8",2115629,"223.248","nd or pr (w)",,,,,,,,"sl EtOH; s eth",
364,"5-Amino-1-naphthol","1-Amino-6-hydroxynaphthalene","C<sub>10</sub>H<sub>9</sub>NO","83-55-6",1239066,"159.184",,170,,,,,,,"sl DMSO",
365,"1-Amino-2-naphthol",,"C<sub>10</sub>H<sub>9</sub>NO","2834-92-6",509342,"159.184","silvery lf (bz, eth)","150 dec",,,,,,,"sl H<sub>2</sub>O, eth; s EtOH; vs dil alk, acid",
366,"8-Amino-2-naphthol","8-Amino-β-naphthol","C<sub>10</sub>H<sub>9</sub>NO","118-46-7",2207365,"159.184","nd (w, al)",206,"subl",,,,,,"s H<sub>2</sub>O, eth; vs EtOH; sl bz, lig",
367,"2-Amino-4-nitrobenzoic acid",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>O<sub>4</sub>","619-17-0",785071,"182.134","oran pr (dil al)",269,,,,,,,"i H<sub>2</sub>O; vs EtOH, eth, ace; s xyl",
368,"2-Amino-5-nitrobenzoic acid",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>O<sub>4</sub>","616-79-5",646219,"182.134","lf (al), ye nd (w, dil al)","278(5)",,,,,,,"i H<sub>2</sub>O, bz, chl, xyl; s EtOH, eth",
369,"2-Amino-5-nitrobenzonitrile",,"C<sub>7</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","17420-30-3",1425714,"163.134",,"203.5",,,,,,,"sl DMSO",
370,"3-Amino-1-nitroguanidine",,"CH<sub>5</sub>N<sub>5</sub>O<sub>2</sub>","18264-75-0",774794,"119.084",,"187.8",,,,,,,"sl H<sub>2</sub>O",
371,"2-Amino-4-nitrophenol",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>3</sub>","99-57-0",776533,"154.123","oran pr (+w)",146,,,,,,,"sl H<sub>2</sub>O, ace; vs EtOH; s eth, bz, HOAc",
372,"2-Amino-5-nitrophenol",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>3</sub>","121-88-0",972974,"154.123",,"205.8",,,,,,,"s H<sub>2</sub>O, EtOH, bz",
