Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
251,"4-Aminobenzenesulfonic acid","Sulfanilic acid","C<sub>6</sub>H<sub>7</sub>NO<sub>3</sub>S","121-57-3",908765,"173.190","orth pl or mcl (w+2)",288,,,"1.485<sup>25</sup>",,"5.9<sup>7</sup>",,"sl H<sub>2</sub>O; i EtOH, eth",
252,"4-Aminobenzenesulfonyl fluoride","<i>p</i>-Sulfanilyl fluoride","C<sub>6</sub>H<sub>6</sub>FNO<sub>2</sub>S","98-62-4",2209488,"175.181",,"68.5",,,,,,,,
253,"2-Aminobenzenethiol",,"C<sub>6</sub>H<sub>7</sub>NS","137-07-5",606076,"125.192",,26,234,,,"1.4606<sup>20</sup>",,,"s EtOH, eth",
254,"4-Aminobenzenethiol",,"C<sub>6</sub>H<sub>7</sub>NS","1193-02-8",906904,"125.192",,46,,"143<sup>17</sup>",,,,,"s H<sub>2</sub>O, EtOH",
255,"2-Aminobenzonitrile",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>","1885-29-6",907187,"118.136","ye pr (CS<sub>2</sub>) nd (peth)",51,263,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth, ace, bz; i peth",
256,"3-Aminobenzonitrile",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>","2237-30-1",636498,"118.136","nd (dil al or CCl<sub>4</sub>)","53(2)",289,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth, ace, chl",
257,"4-Aminobenzonitrile",,"C<sub>7</sub>H<sub>6</sub>N<sub>2</sub>","873-74-5",774507,"118.136","pr or pl (w)","86.2(5)",,,,,,,"sl H<sub>2</sub>O, ctc; vs EtOH, eth, ace, bz",
258,"4-Aminobenzophenone",,"C<sub>13</sub>H<sub>11</sub>NO","1137-41-3",389292,"197.232","lf (dil al)","123(2)",,"246<sup>13</sup>",,,,,"sl H<sub>2</sub>O, tfa; s EtOH, eth, HOAc",
259,"<i>N</i>-(4-Aminobenzoyl)-<small>L</small>-glutamic acid",,"C<sub>12</sub>H<sub>14</sub>N<sub>2</sub>O<sub>5</sub>","4271-30-1",2816320,"266.249","cry (w)",173,,,,,,,,
260,"<i>N</i>-(4-Aminobenzoyl)glycine","<i>p</i>-Aminohippuric acid","C<sub>9</sub>H<sub>10</sub>N<sub>2</sub>O<sub>3</sub>","61-78-9",1213676,"194.186","pr or nd (w)","198.5",,,,,,,"vs ace, bz, EtOH",
261,"2-Aminobiphenyl",,"C<sub>12</sub>H<sub>11</sub>N","90-41-5",471874,"169.222","lf (dil al)","49.13(4)","298.3(2)",,,,,,"i H<sub>2</sub>O; s EtOH, eth, bz; sl DMSO, peth",
262,"3-Aminobiphenyl",,"C<sub>12</sub>H<sub>11</sub>N","2243-47-2",2206824,"169.222","nd","31.5",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, ace, bz",
263,"4-Aminobiphenyl","<i>p</i>-Biphenylamine","C<sub>12</sub>H<sub>11</sub>N","92-67-1",386533,"169.222","lf (dil al)","51.0(6)",302,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, ace, chl",
264,"2-Amino-5-bromobenzoic acid","5-Bromoanthranilic acid","C<sub>7</sub>H<sub>6</sub>BrNO<sub>2</sub>","5794-88-7",639028,"216.033","nd","219.5",,,,,,,"s DMSO",
265,"1-Amino-4-bromo-9,10-dihydro-9,10-dioxo-2-anthracenesulfonic acid","1-Amino-4-bromoanthraquinone-2-sulfonic acid","C<sub>14</sub>H<sub>8</sub>BrNO<sub>5</sub>S","116-81-4",2169372,"382.187","red nd (w)",,,,,,,,,
266,"<small>DL</small>-2-Aminobutanoic acid",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","2835-81-6",635889,"103.120","lf (w)","304 dec","subl",,"1.2300<sup>20</sup>",,"211<sup>25</sup>",,"vs H<sub>2</sub>O; sl EtOH; i eth, bz",
267,"<small>L</small>-2-Aminobutanoic acid",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","1492-24-6",1720935,"103.120","lf (dil al), cry (al)","292 dec",,,,,,,"s H<sub>2</sub>O; sl EtOH, eth; i bz",
268,"<small>DL</small>-3-Aminobutanoic acid",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","2835-82-7",1720563,"103.120","nd (al)","194.3",,,,,"1250<sup>25</sup>",,"vs H<sub>2</sub>O; i EtOH, eth, bz",
269,"4-Aminobutanoic acid","γ-Aminobutyric acid","C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","56-12-2",906818,"103.120","pr or nd (al) lf (MeOH-eth)","203 dec",,,,,,,"vs H<sub>2</sub>O; sl EtOH, ace; i eth, bz",
270,"2-Amino-1-butanol, (±)-",,"C<sub>4</sub>H<sub>11</sub>NO","13054-87-0",1718931,"89.136","liq","-1.0","178(9)",,"0.9162<sup>20</sup>","1.4489<sup>25</sup>",,,"msc H<sub>2</sub>O, EtOH, eth; sl chl",
271,"4-Amino-1-butanol",,"C<sub>4</sub>H<sub>11</sub>NO","13325-10-5",1731411,"89.136",,,"203(11)","125<sup>34</sup>","0.967<sup>12</sup>","1.4625<sup>20</sup>",,,"s H<sub>2</sub>O, EtOH; i eth",
272,"4-Amino-<i>N</i>-[(butylamino)carbonyl]benzenesulfonamide","Carbutamide","C<sub>11</sub>H<sub>17</sub>N<sub>3</sub>O<sub>3</sub>S","339-43-5",2218915,"271.336",,"144.5",,,,,"0.53<sup>37</sup>",,,
273,"Aminocarb",,"C<sub>11</sub>H<sub>16</sub>N<sub>2</sub>O<sub>2</sub>","2032-59-9",,"208.257","cry","95.0(3)",,,,,,,"sl H<sub>2</sub>O, bz; s ace",
274,"<i>N</i>-(Aminocarbonyl)acetamide",,"C<sub>3</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","591-07-1",1751301,"102.092",,218,"180 subl",,,,,,"sl H<sub>2</sub>O, eth; s EtOH",
275,"[4-[(Aminocarbonyl)amino]phenyl]arsonic acid","Carbarsone","C<sub>7</sub>H<sub>9</sub>AsN<sub>2</sub>O<sub>4</sub>","121-59-5",2940926,"260.079","nd (w)",174,,,,,,,"sl H<sub>2</sub>O, DMSO, EtOH; i eth, chl; s alk",
276,"<i>N</i>-(Aminocarbonyl)-2-bromo-2-ethylbutanamide","Carbromal","C<sub>7</sub>H<sub>13</sub>BrN<sub>2</sub>O<sub>2</sub>","77-65-6",1775637,"237.094","orth (dil al)",118,,,"1.544<sup>25</sup>",,,,"sl H<sub>2</sub>O, chl; s ace, bz",
277,"<i>N</i>-(Aminocarbonyl)-2-bromo-3-methylbutanamide","Bromisovalum","C<sub>6</sub>H<sub>11</sub>BrN<sub>2</sub>O<sub>2</sub>","496-67-3",1773255,"223.067","nd or lf (to)",154,"subl",,"1.56<sup>15</sup>",,,,"vs ace, bz, eth, EtOH",
278,"[2-(Aminocarbonyl)phenoxy]acetic acid","Salicylamide <i>O</i>-acetic acid","C<sub>9</sub>H<sub>9</sub>NO<sub>4</sub>","25395-22-6",2109681,"195.172",,221,,,,,,,"s alk",
279,"7-Aminocephalosporanic acid",,"C<sub>10</sub>H<sub>12</sub>N<sub>2</sub>O<sub>5</sub>S","957-68-6",,"272.277","cry",,,,,,,,,
280,"1-Amino-5-chloro-9,10-anthracenedione","1-Amino-5-chloroanthraquinone","C<sub>14</sub>H<sub>8</sub>ClNO<sub>2</sub>","117-11-3",2215893,"257.673",,212,,,,,,,,
