Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
201,"Allyl phenyl ether",,"C<sub>9</sub>H<sub>10</sub>O","1746-13-0",1905622,"134.174",,,"190.5(8)",,"0.9811<sup>20</sup>","1.5223<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH; msc eth; sl ctc",
202,"5-Allyl-5-phenyl-2,4,6(1<i>H</i>,3<i>H</i>,5<i>H</i>)-pyrimidinetrione","Phenallymal","C<sub>13</sub>H<sub>12</sub>N<sub>2</sub>O<sub>3</sub>","115-43-5",227510,"244.245",,"156.5",,,,,,,"sl H<sub>2</sub>O, bz, DMSO; vs EtOH, eth; i lig",
203,"Allyl propanoate","2-Propenyl propanoate","C<sub>6</sub>H<sub>10</sub>O<sub>2</sub>","2408-20-0",1743840,"114.142",,,"123(5)",,"0.9140<sup>20</sup>","1.4105<sup>20</sup>",,,"s EtOH, eth, ace",
204,"<i>N</i>-Allyl-2-propen-1-amine","Diallylamine","C<sub>6</sub>H<sub>11</sub>N","124-02-7",773718,"97.158",,,"112(3)",,,"1.4387<sup>20</sup>",,,"s EtOH, eth",
205,"Allyl propyl disulfide",,"C<sub>6</sub>H<sub>12</sub>S<sub>2</sub>","2179-59-1",,"148.289",,,,"79<sup>13</sup>",,"1.5219<sup>20</sup>",,,,
206,"3-(Allylsulfinyl)-<small>L</small>-alanine, (<i>S</i>)-","Alliin","C<sub>6</sub>H<sub>11</sub>NO<sub>3</sub>S","556-27-4",,"177.221","nd (dil ac)",165,,,,,,,"vs H<sub>2</sub>O",
207,"Allylthiourea","Thiosinamine","C<sub>4</sub>H<sub>8</sub>N<sub>2</sub>S","109-57-9",1071470,"116.185","mcl or orth pr (w)","77(3)",,,"1.217<sup>20</sup>","1.5936<sup>78</sup>",,,"s H<sub>2</sub>O, EtOH; sl eth; i bz",
208,"Allyltrichlorosilane","Trichloro-2-propenylsilane","C<sub>3</sub>H<sub>5</sub>Cl<sub>3</sub>Si","107-37-9",1743449,"175.517",,35,"118(3)",,"1.2011<sup>20</sup>","1.4460<sup>20</sup>",,,,
209,"Allyltriethoxysilane",,"C<sub>9</sub>H<sub>20</sub>O<sub>3</sub>Si","2550-04-1",1772306,"204.339",,,,"100<sup>50</sup>, 82<sup>28</sup>","0.9030<sup>20</sup>","1.4072<sup>20</sup>",,,,
210,"Allyltrimethylsilane",,"C<sub>6</sub>H<sub>14</sub>Si","762-72-1",906755,"114.261",,,85,,"0.7158<sup>25</sup>","1.4074<sup>20</sup>",,,"i H<sub>2</sub>O",
