Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
751,"2-Benzoylbenzoic acid, hydrazide",,"C<sub>14</sub>H<sub>12</sub>N<sub>2</sub>O<sub>2</sub>","787-84-8",523810,"240.257","nd (al)","238(3)",,,,,,,"sl H<sub>2</sub>O; i EtOH, eth, chl; s MeOH",
752,"4-Benzoylbiphenyl","4-Phenylbenzophenone","C<sub>19</sub>H<sub>14</sub>O","2128-93-0",1876092,"258.313",,"101.5",420,"156<sup>0.1</sup>",,,,,,
753,"Benzoyl bromide","Benzoic acid, bromide","C<sub>7</sub>H<sub>5</sub>BrO","618-32-6",1855439,"185.018","liq","-24","220(10)",,"1.570<sup>15</sup>","1.5868<sup>25</sup>",,,"msc eth",
754,"Benzoyl chloride","Benzoic acid, chloride","C<sub>7</sub>H<sub>5</sub>ClO","98-88-4",471389,"140.567","liq","-0.5(2)","201(8)","71<sup>9</sup>","1.2120<sup>20</sup>","1.5537<sup>20</sup>",,"0.084","msc eth; s bz, ctc, CS<sub>2</sub>",
755,"Benzoyl cyclohexane","Cyclohexyl phenyl ketone","C<sub>13</sub>H<sub>16</sub>O","712-50-5",2046712,"188.265","nd (peth)","59.5",,"164<sup>18</sup>",,,,,,
756,"Benzoylecgonine",,"C<sub>16</sub>H<sub>19</sub>NO<sub>4</sub>","519-09-5",89637,"289.327","nd (w)",195,,,,,,,"vs bz, EtOH",
757,"Benzoylferrocene",,"C<sub>17</sub>H<sub>14</sub>FeO","1272-44-2",,"290.137",,"108(1)",,,,,,,,
758,"Benzoyl fluoride","Benzoic acid, fluoride","C<sub>7</sub>H<sub>5</sub>FO","455-32-3",1904977,"124.112","liq","-28","154.5",,"1.1400<sup>20</sup>",,,,"vs EtOH, eth; s ctc",
759,"<i>N</i>-Benzoylglycine","Hippuric acid","C<sub>9</sub>H<sub>9</sub>NO<sub>3</sub>","495-69-2",1073987,"179.172","pr (w or al)","191.5",,,"1.371<sup>20</sup>",,"3.7<sup>25</sup>",,"s H<sub>2</sub>O, EtOH; sl eth, bz, chl; i peth",
760,"Benzoyl iodide","Benzoic acid, iodide","C<sub>7</sub>H<sub>5</sub>IO","618-38-2",2039639,"232.018","nd","3(2)",,"128<sup>20</sup>","1.746<sup>18</sup>",,,,"vs eth, EtOH",
761,"2-Benzoylmethyl-6(2-hydroxy-2-phenylethyl)-1-methylpiperidine, hydrochloride",,"C<sub>22</sub>H<sub>28</sub>ClNO<sub>2</sub>","63990-84-1",,"373.916",,"183.5",,,,,,,"sl H<sub>2</sub>O; s EtOH; vs chl",
