Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
801,"Benzyl isothiocyanate","(Isothiocyanatomethyl)benzene","C<sub>8</sub>H<sub>7</sub>NS","622-78-6",386135,"149.214","ye oil",,243,,"1.1246<sup>16</sup>","1.6049<sup>15</sup>",,,"i H<sub>2</sub>O; msc EtOH; s eth",
802,"Benzyl methacrylate",,"C<sub>11</sub>H<sub>12</sub>O<sub>2</sub>","2495-37-6",,"176.212",,,,"144<sup>50</sup>",,,,,,
803,"1-Benzyl-2-methylbenzene","2-Benzyltoluene","C<sub>14</sub>H<sub>14</sub>","713-36-0",2041439,"182.261",,"6.61(1)","281(7)",,"1.0020<sup>20</sup>","1.5763<sup>20</sup>",,,,
804,"1-Benzyl-4-methylbenzene","4-Benzyltoluene","C<sub>14</sub>H<sub>14</sub>","620-83-7",2041436,"182.261","liq","-30","282(6)",,"0.9976<sup>20</sup>","1.5712<sup>20</sup>",,,"vs eth, bz, EtOH, chl",
805,"Benzyl 3-methylbutanoate",,"C<sub>12</sub>H<sub>16</sub>O<sub>2</sub>","103-38-8",2503435,"192.254",,,245,"136<sup>25</sup>","0.9983<sup>15</sup>","1.4884<sup>20</sup>",,,,
806,"Benzyl methyl ether",,"C<sub>8</sub>H<sub>10</sub>O","538-86-3",1099242,"122.164","liq","-52.6(4)","175(3)",,"0.9634<sup>20</sup>","1.5008<sup>20</sup>",,,"i H<sub>2</sub>O, lig; vs EtOH, eth; s bz",
807,"1-Benzyl-2-methylhydrazine","1-Methyl-2-phenylmethylhydrazine","C<sub>8</sub>H<sub>12</sub>N<sub>2</sub>","10309-79-2",,"136.194","liq",,,"117<sup>20</sup>",,,,,,
808,"Benzyl 2-methylpropanoate","Benzyl isobutyrate","C<sub>11</sub>H<sub>14</sub>O<sub>2</sub>","103-28-6",1869299,"178.228",,,228,"114<sup>20</sup>","1.0159<sup>18</sup>","1.4883<sup>20</sup>",,,,
809,"2-Benzyl-1-methyl-4(1<i>H</i>)-quinazolinone","Glycosine","C<sub>16</sub>H<sub>14</sub>N<sub>2</sub>O","6873-15-0",220267,"250.294",,"161.5",,,,,,,,
810,"Benzyl nitrite",,"C<sub>7</sub>H<sub>7</sub>NO<sub>2</sub>","935-05-7",2042660,"137.137","oil",,,"81<sup>35</sup>","1.075<sup>25</sup>","1.4989<sup>25</sup>",,,,
