Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
451,"5β-Androstane-3,17-dione",,"C<sub>19</sub>H<sub>28</sub>O<sub>2</sub>","1229-12-5",,"288.424","cry (ace-hx)",135,,,,,,,,
452,"Androst-4-ene-3,17-dione","Androstenedione","C<sub>19</sub>H<sub>26</sub>O<sub>2</sub>","63-05-8",2059239,"286.408",,174,,,,,,,,
453,"Androst-4-ene-3,11,17-trione","Adrenosterone","C<sub>19</sub>H<sub>24</sub>O<sub>3</sub>","382-45-6",3036825,"300.392","nd (al)",222,"subl",,,,,,"sl H<sub>2</sub>O; s EtOH, eth, ace, chl",
454,"Anemonin","<i>trans</i>-1,7-Dioxadispiro[4.0.4.2]dodeca-3,9-diene-2,8-dione","C<sub>10</sub>H<sub>8</sub>O<sub>4</sub>","508-44-1",9390,"192.169","orth pl (chl) nd (al or bz)",158,,,,,,,"vs chl",
455,"Anhalamine",,"C<sub>11</sub>H<sub>15</sub>NO<sub>3</sub>","643-60-7",185079,"209.242","nd (al)","187.5",,,,,,,"vs eth, EtOH",
456,"Anhalonidine",,"C<sub>12</sub>H<sub>17</sub>NO<sub>3</sub>","17627-77-9",,"223.268","oct cry (bz, eth)","160.5",,,,,,,"vs H<sub>2</sub>O, EtOH",
457,"Anhalonine","6,7,8,9-Tetrahydro-4-methoxy-9-methyl-1,3-dioxolo[4,5-<i>h</i>]isoquinoline","C<sub>12</sub>H<sub>15</sub>NO<sub>3</sub>","519-04-0",,"221.252","rhom nd",86,,"140<sup>0.02</sup>",,,,,"vs EtOH, bz, chl, eth, peth",
458,"2,5-Anhydro-3,4-dideoxyhexitol","Tetrahydro-2,5-furandimethanol","C<sub>6</sub>H<sub>12</sub>O<sub>3</sub>","104-80-3",,"132.157",,"<-50",265,,"1.154<sup>20</sup>",,,,"vs H<sub>2</sub>O, ace, bz, EtOH",
459,"Anilazine","2,4-Dichloro-6-(<i>o</i>-chloroanilino)-<i>s</i>-triazine","C<sub>9</sub>H<sub>5</sub>Cl<sub>3</sub>N<sub>4</sub>","101-05-3",,"275.522",,"159.3(5)",,,"1.8<sup>20</sup>",,"0.01<sup>20</sup>",,,
460,"Anileridine",,"C<sub>22</sub>H<sub>28</sub>N<sub>2</sub>O<sub>2</sub>","144-14-9",,"352.469","cry",83,,,,,,,"s H<sub>2</sub>O",
461,"Aniline","Benzenamine","C<sub>6</sub>H<sub>7</sub>N","62-53-3",605631,"93.127","oily liq","-6.0(1)","184.1(4)",,"1.0250<sup>20</sup>","1.5863<sup>20</sup>","35.0<sup>25</sup>","0.090","s H<sub>2</sub>O, ctc, lig; msc EtOH, eth, ace, bz",
462,"Aniline-2-carboxylic acid","<i>o</i>-Anthranilic acid","C<sub>7</sub>H<sub>7</sub>NO<sub>2</sub>","118-92-3",471803,"137.137","lf (al)","144.6(5)","subl",,"1.412<sup>20</sup>",,"3.49<sup>20</sup>",,"s H<sub>2</sub>O, EtOH, eth; sl bz, tfa; vs chl, py",
463,"Aniline-3-carboxylic acid","<i>m</i>-Anthranilic acid","C<sub>7</sub>H<sub>7</sub>NO<sub>2</sub>","99-05-8",471603,"137.137",,"179.7(6)",,,"1.51<sup>25</sup>",,,,"sl H<sub>2</sub>O, EtOH; s eth, tfa; vs ace; i bz",
464,"Aniline-4-carboxylic acid","<i>p</i>-Anthranilic acid","C<sub>7</sub>H<sub>7</sub>NO<sub>2</sub>","150-13-0",471605,"137.137","mcl pr (w)","188.2(6)",,,"1.374<sup>20</sup>",,"5.4<sup>25</sup>",,"s H<sub>2</sub>O, EtOH, eth; sl ace; i bz, chl",
465,"Aniline hydrobromide",,"C<sub>6</sub>H<sub>8</sub>BrN","542-11-0",3910222,"174.039",,286,,,,,,,,
466,"Aniline hydrochloride","Benzenamine hydrochloride","C<sub>6</sub>H<sub>8</sub>ClN","142-04-1",3593823,"129.588","lf or nd",198,,,"1.2215<sup>4</sup>",,"178<sup>15</sup>",,"vs H<sub>2</sub>O, EtOH; i eth, chl; sl DMSO",
467,"Aniline nitrate",,"C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>O<sub>3</sub>","542-15-4",3916485,"156.139","orth","190 dec",,,"1.356<sup>4</sup>",,,,"vs H<sub>2</sub>O, eth, EtOH",
468,"Aniline sulfate (2:1)",,"C<sub>12</sub>H<sub>16</sub>N<sub>2</sub>O<sub>4</sub>S","542-16-5",,"284.331",,,,,"1.377<sup>4</sup>",,,,"s H<sub>2</sub>O; sl EtOH, tfa; i eth",
469,"4'-Anilinoazobenzene-4-sulfonic acid, sodium salt","Tropaeolin OO","C<sub>18</sub>H<sub>14</sub>N<sub>3</sub>NaO<sub>3</sub>S","554-73-4",,"375.377","ye pow",,,,,,,,"s H<sub>2</sub>O",
470,"Anisole","Methoxybenzene","C<sub>7</sub>H<sub>8</sub>O","100-66-3",506892,"108.138","liq","-37.3(2)","153.6(2)",,"0.9940<sup>20</sup>","1.5174<sup>20</sup>","2.03<sup>20</sup>","0.472","i H<sub>2</sub>O; s EtOH, eth, chl; vs ace, bz",
471,"Anisotropine methylbromide","Octatropine methylbromide","C<sub>17</sub>H<sub>32</sub>BrNO<sub>2</sub>","80-50-2",,"362.346","cry (ace)",329,,,,,,,,
472,"Antazoline",,"C<sub>17</sub>H<sub>19</sub>N<sub>3</sub>","91-75-8",,"265.353","cry",122,,,,,,,,
473,"Anthra[9,1,2-<i>cde</i>]benzo[<i>rst</i>]pentaphene-5,10-dione",,"C<sub>34</sub>H<sub>16</sub>O<sub>2</sub>","116-71-2",2025414,"456.490","viol-bl or blk nd (PhNO<sub>2</sub>)","492 dec",,,,,,,"i EtOH, bz, HOAc; s xyl, py, sulf",
474,"2-Anthracenamine",,"C<sub>14</sub>H<sub>11</sub>N","613-13-8",2209414,"193.244","ye lf (al)","238.8","subl",,,,,,"i H<sub>2</sub>O; s EtOH; i con sulf",
475,"Anthracene",,"C<sub>14</sub>H<sub>10</sub>","120-12-7",1905429,"178.229","tab or mcl pr (al)","216(2)","341.3(4)",,"1.28<sup>25</sup>",,"0.000044<sup>25</sup>",,"i H<sub>2</sub>O; sl EtOH, eth, ace, bz, chl, ctc",
476,"9-Anthracenecarbonitrile",,"C<sub>15</sub>H<sub>9</sub>N","1210-12-4",1911437,"203.239",,"177.5",,,"1.3000<sup>20</sup>",,,,,
477,"9-Anthracenecarboxaldehyde",,"C<sub>15</sub>H<sub>10</sub>O","642-31-9",639167,"206.239","oran nd (dil HOAc)","107(1)",,,,,,,"i H<sub>2</sub>O; s bz, HOAc",
478,"1-Anthracenecarboxylic acid","1-Anthroic acid","C<sub>15</sub>H<sub>10</sub>O<sub>2</sub>","607-42-1",2212362,"222.239","ye nd (HOAc) ye pr (al)","251.5","subl",,,,,,"i H<sub>2</sub>O; s EtOH, eth; sl bz, chl",
479,"2-Anthracenecarboxylic acid","2-Anthroic acid","C<sub>15</sub>H<sub>10</sub>O<sub>2</sub>","613-08-1",2330722,"222.239","ye lf (al) nd, lf (sub)",281,"subl",,,,,,"vs HOAc",
480,"9-Anthracenecarboxylic acid","9-Anthroic acid","C<sub>15</sub>H<sub>10</sub>O<sub>2</sub>","723-62-6",1875336,"222.239",,"219(1)","subl",,,,,,"i H<sub>2</sub>O; s EtOH",
481,"9,10-Anthracenedicarbonitrile",,"C<sub>16</sub>H<sub>8</sub>N<sub>2</sub>","1217-45-4",1646384,"228.248",,"337 dec",,,,,,,,
482,"9,10-Anthracenediol",,"C<sub>14</sub>H<sub>10</sub>O<sub>2</sub>","4981-66-2",1875799,"210.228","br or ye nd",180,,,,,,,"vs eth, EtOH",
483,"9,10-Anthracenedione","Anthraquinone","C<sub>14</sub>H<sub>8</sub>O<sub>2</sub>","84-65-1",390030,"208.213","ye orth nd (al, bz)","284.8(2)","377(2)",,"1.438<sup>20</sup>",,"0.0014<sup>25</sup>",,"i H<sub>2</sub>O; sl EtOH, eth, bz, chl",
484,"9-Anthracenemethanol",,"C<sub>15</sub>H<sub>12</sub>O","1468-95-7",1873402,"208.255",,"160.5",,,,,,,,
485,"1,4,9,10-Anthracenetetrol",,"C<sub>14</sub>H<sub>10</sub>O<sub>4</sub>","476-60-8",1582765,"242.227",,148,,,,,,,,
486,"1,2,10-Anthracenetriol","Anthrarobin","C<sub>14</sub>H<sub>10</sub>O<sub>3</sub>","577-33-3",3531675,"226.227","ye lf, nd (al-w)",208,,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth, ace; s bz",
487,"1,8,9-Anthracenetriol","Anthralin","C<sub>14</sub>H<sub>10</sub>O<sub>3</sub>","1143-38-0",2054360,"226.227","ye pl or nd (lig)",179,,,,,,,"i H<sub>2</sub>O; s EtOH, ace, bz; sl eth; vs py",
488,"1-Anthracenol",,"C<sub>14</sub>H<sub>10</sub>O","610-50-4",1869102,"194.228","cry (bz), br nd or lf (al)",158,,"234<sup>13</sup>",,,,,"i H<sub>2</sub>O; vs EtOH, eth; s NaOH",
489,"9-Anthracenol","Anthranol","C<sub>14</sub>H<sub>10</sub>O","529-86-2",1869416,"194.228","ye red lf (dil al)",152,,,,,,,,
490,"9(10<i>H</i>)-Anthracenone","Anthrone","C<sub>14</sub>H<sub>10</sub>O","90-44-8",1910173,"194.228","nd (bz-lig, HOAc)","155(3)",,,,,,,"s ace, bz, con sulf, dil alk",
491,"Antimony potassium tartrate trihydrate","Tartar emetic","C<sub>8</sub>H<sub>10</sub>K<sub>2</sub>O<sub>15</sub>Sb<sub>2</sub>","28300-74-5",,"667.873","col cry",,,,"2.6",,,,"sl H<sub>2</sub>O",
492,"Apholate",,"C<sub>12</sub>H<sub>24</sub>N<sub>9</sub>P<sub>3</sub>","52-46-0",,"387.300",,148,,,,,,,,
