Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
101,"3-Acetylpyridine adenine dinucleotide","3-Acetyl NAD","C<sub>22</sub>H<sub>28</sub>N<sub>6</sub>O<sub>14</sub>P<sub>2</sub>","86-08-8",,"662.436","solid",,,,,,,,,
102,"4-Acetylthioanisole",,"C<sub>9</sub>H<sub>10</sub>OS","1778-09-2",1860517,"166.239",,"81.5",,,,,,,,
103,"Acetyl thiocholine iodide",,"C<sub>7</sub>H<sub>16</sub>INOS","1866-15-5",3916578,"289.177",,205,,,,,,,,
104,"<i>N</i>-Acetyl-<small>L</small>-tryptophan",,"C<sub>13</sub>H<sub>14</sub>N<sub>2</sub>O<sub>3</sub>","1218-34-4",89476,"246.261","nd (dil MeOH)","189.5",,,,,,,"s H<sub>2</sub>O, EtOH, alk",
105,"<i>N</i>-Acetyl-<small>L</small>-tyrosine",,"C<sub>11</sub>H<sub>13</sub>NO<sub>4</sub>","537-55-3",,"223.226","cry (w); pl (diox)",153,,,,,,,,
106,"<i>N</i>-Acetyl-<small>L</small>-tyrosine ethyl ester",,"C<sub>13</sub>H<sub>17</sub>NO<sub>4</sub>","840-97-1",2217900,"251.279",,"80.5",,,,,,,,
107,"<i>N</i>-Acetyl-<small>L</small>-valine",,"C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>","96-81-1",,"159.183",,164,,,,,,,,
108,"Acid Fuchsin","Fuchsin, acid","C<sub>20</sub>H<sub>17</sub>N<sub>3</sub>Na<sub>2</sub>O<sub>9</sub>S<sub>3</sub>","3244-88-0",4111656,"585.539",,,,,,,,,"sl H<sub>2</sub>O, EtOH",
109,"Acifluorfen","5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid","C<sub>14</sub>H<sub>7</sub>ClF<sub>3</sub>NO<sub>5</sub>","50594-66-6",,"361.658",,"164.3(5)",,,,,,,,
110,"Aconine",,"C<sub>25</sub>H<sub>41</sub>NO<sub>9</sub>","509-20-6",60864,"499.596","amor",132,,,,,,,"s H<sub>2</sub>O, EtOH, chl; sl eth, lig",
111,"Aconitine",,"C<sub>34</sub>H<sub>47</sub>NO<sub>11</sub>","302-27-2",74608,"645.737","orth lf",204,,,,,,,"vs bz, EtOH, chl",
112,"9-Acridinamine","Aminacrine","C<sub>13</sub>H<sub>10</sub>N<sub>2</sub>","90-45-9",141171,"194.231","ye nd (ace or al)",241,,,,,,,"s EtOH, ace; sl DMSO; vs dil HCl",
113,"Acridine","Dibenzo[<i>b,e</i>]pyridine","C<sub>13</sub>H<sub>9</sub>N","260-94-6",120200,"179.217","orth nd or pr (al)","110.06(5)","346.9(10)",,"1.005<sup>20</sup>",,"0.0466<sup>25</sup>",,"i H<sub>2</sub>O; sl ctc; vs EtOH, eth, bz",
114,"3,6-Acridinediamine","Proflavine","C<sub>13</sub>H<sub>11</sub>N<sub>3</sub>","92-62-6",166050,"209.246","ye nd (al or w)",285,,,,,,,"s H<sub>2</sub>O; vs EtOH; sl eth, bz",
115,"9(10<i>H</i>)-Acridinone",,"C<sub>13</sub>H<sub>9</sub>NO","578-95-0",7104,"195.216","ye lf (al)",">300",,,,,,,"i H<sub>2</sub>O, eth, bz; sl EtOH; s HOAc, alk",
116,"Acrolein","2-Propenal","C<sub>3</sub>H<sub>4</sub>O","107-02-8",741856,"56.063","liq","-87.8(9)","52.3(1)",,"0.840<sup>20</sup>","1.4017<sup>20</sup>","263<sup>20</sup>","36.2","vs H<sub>2</sub>O; s EtOH, eth, ace; sl chl",
117,"Acrylamide","2-Propenamide","C<sub>3</sub>H<sub>5</sub>NO","79-06-1",605349,"71.078","lf (bz)","85(1)","192.6",,,,"≈370<sup>20</sup>",,"vs H<sub>2</sub>O, chl; s EtOH, eth, ace",
118,"Acrylic acid","2-Propenoic acid","C<sub>3</sub>H<sub>4</sub>O<sub>2</sub>","79-10-7",635743,"72.063","acrid liq","13.56(5)","142(2)",,"1.0511<sup>20</sup>","1.4224<sup>20</sup>",,"0.53","msc H<sub>2</sub>O, EtOH, eth; s ace, bz, ctc",
119,"Acrylonitrile","Propenenitrile","C<sub>3</sub>H<sub>3</sub>N","107-13-1",605310,"53.063","liq","-83.51(5)","77.2(2)",,"0.8007<sup>25</sup>","1.3911<sup>20</sup>","79.3<sup>20</sup>","14.1","s H<sub>2</sub>O; vs ace, bz, eth, EtOH",
120,"Acyclovir",,"C<sub>8</sub>H<sub>11</sub>N<sub>5</sub>O<sub>3</sub>","59277-89-3",,"225.205","cry (EtOH)",225,,,,,,,,
121,"Adenine","1<i>H</i>-Purin-6-amine","C<sub>5</sub>H<sub>5</sub>N<sub>5</sub>","73-24-5",5777,"135.128","orth nd (+3w)","360 dec","220 subl",,,,"1.04<sup>25</sup>",,"s H<sub>2</sub>O; sl EtOH; i eth, chl",
122,"Adenosine","β-<small>D</small>-Ribofuranoside, adenine-9","C<sub>10</sub>H<sub>13</sub>N<sub>5</sub>O<sub>4</sub>","58-61-7",93029,"267.242","n(w+3/2)","235.5",,,,,"5.1<sup>25</sup>",,"sl H<sub>2</sub>O; i EtOH",
123,"Adenosine cyclic 3',5'-(hydrogen phosphate)","cAMP","C<sub>10</sub>H<sub>12</sub>N<sub>5</sub>O<sub>6</sub>P","60-92-4",,"329.206","cry",219,,,,,,,,
124,"Adenosine 3',5'-diphosphate","3'-Adenylic acid, 5'-(dihydrogen phosphate)","C<sub>10</sub>H<sub>15</sub>N<sub>5</sub>O<sub>10</sub>P<sub>2</sub>","1053-73-2",,"427.202","amor pow",,,,,,,,,
125,"Adenosine 5'-methylenediphosphonate","Adenosine, 5'-[hydrogen (phosphonomethyl)phosphonate]","C<sub>11</sub>H<sub>17</sub>N<sub>5</sub>O<sub>9</sub>P<sub>2</sub>","3768-14-7",,"425.229","cry (w)",204,,,,,,,"s H<sub>2</sub>O",
126,"Adenosine 5'-monophosphate","5'-Adenylic acid","C<sub>10</sub>H<sub>14</sub>N<sub>5</sub>O<sub>7</sub>P","61-19-8",54612,"347.222",,"195 dec",,,,,,,"vs H<sub>2</sub>O; s EtOH, 10% HCl",
127,"Adenosine 3'-phosphate","3'-Adenylic acid","C<sub>10</sub>H<sub>14</sub>N<sub>5</sub>O<sub>7</sub>P","84-21-9",,"347.222","col nd","195 dec",,,,,,,,
128,"Adenosine 5'-triphosphate","ATP","C<sub>10</sub>H<sub>16</sub>N<sub>5</sub>O<sub>13</sub>P<sub>3</sub>","56-65-5",,"507.181",,"144 dec",,,,,,,,
129,"<i>S</i>-Adenosyl-<small>L</small>-homocysteine",,"C<sub>14</sub>H<sub>20</sub>N<sub>6</sub>O<sub>5</sub>S","979-92-0",,"384.411",,"210 dec",,,,,,,,
130,"Adipamic acid",,"C<sub>6</sub>H<sub>11</sub>NO<sub>3</sub>","334-25-8",1762332,"145.156","nd (w)","161.5",,,,,,,,
131,"Adiphenine hydrochloride","2-(Diethylamino)ethyl α-phenylbenzeneacetate hydrochloride","C<sub>20</sub>H<sub>26</sub>ClNO<sub>2</sub>","50-42-0",3919592,"347.879","cry","113.5",,,,,,,"vs H<sub>2</sub>O; sl EtOH, eth",
132,"Adrenalone",,"C<sub>9</sub>H<sub>11</sub>NO<sub>3</sub>","99-45-6",2366101,"181.188","nd","235 dec",,,,,,,"sl H<sub>2</sub>O, EtOH, eth",
133,"Affinin","<i>N</i>-(2-Methylpropyl)-2,6,8-decatrienamide","C<sub>14</sub>H<sub>23</sub>NO","25394-57-4",,"221.339","ye oil",23,,"162<sup>0.5</sup>",,"1.5134<sup>25</sup>",,,"i H<sub>2</sub>O",
134,"Aflatoxin B1",,"C<sub>17</sub>H<sub>12</sub>O<sub>6</sub>","1162-65-8",,"312.273","cry",268,,,,,,,,
135,"Aflatoxin B2",,"C<sub>17</sub>H<sub>14</sub>O<sub>6</sub>","7220-81-7",1355115,"314.289",,"287.5",,,,,,,,
136,"Aflatoxin G1",,"C<sub>17</sub>H<sub>12</sub>O<sub>7</sub>","1165-39-5",1299768,"328.273","cry",245,,,,,,,,
137,"Agaritine","<small>L</small>-Glutamic acid, 5-[2-[4-(hydroxymethyl)phenyl]hydrazide]","C<sub>12</sub>H<sub>17</sub>N<sub>3</sub>O<sub>4</sub>","2757-90-6",,"267.281","cry (dil al)","207 dec",,,,,,,"vs H<sub>2</sub>O",
138,"Ajmalan-17,21-diol, (17<i>R</i>,21α)","Ajmaline","C<sub>20</sub>H<sub>26</sub>N<sub>2</sub>O<sub>2</sub>","4360-12-7",,"326.432","pl (+3.5w) (aq AcOEt)",206,,,,,,,"i H<sub>2</sub>O; s EtOH, chl; sl eth, bz",
139,"Alachlor","Acetamide, 2-chloro-<i>N</i>-(2,6-diethylphenyl)-<i>N</i>-(methoxymethyl)-","C<sub>14</sub>H<sub>20</sub>ClNO<sub>2</sub>","15972-60-8",,"269.768",,"42(2)",,"100<sup>0.02</sup>","1.133<sup>25</sup>",,"0.24<sup>23</sup>",,,
140,"<small>DL</small>-Alanine","<small>DL</small>-2-Aminopropanoic acid","C<sub>3</sub>H<sub>7</sub>NO<sub>2</sub>","302-72-7",1720250,"89.094","orth pr or nd (w)","300 dec","250 subl",,"1.424<sup>25</sup>",,,,"s H<sub>2</sub>O; vs EtOH",
141,"<small>D</small>-Alanine","2-Aminopropanoic acid, (<i>R</i>)-","C<sub>3</sub>H<sub>7</sub>NO<sub>2</sub>","338-69-2",1720249,"89.094","nd (w, al)","314 dec","subl",,,,,,"s H<sub>2</sub>O; sl EtOH; i eth",
142,"<small>L</small>-Alanine","2-Aminopropanoic acid, (<i>S</i>)-","C<sub>3</sub>H<sub>7</sub>NO<sub>2</sub>","56-41-7",1720248,"89.094","orth (w)","297 dec","250 subl",,"1.432<sup>22</sup>",,"167<sup>25</sup>",,"s H<sub>2</sub>O; sl EtOH, py; i eth, ace",
143,"β-Alanine","3-Aminopropanoic acid","C<sub>3</sub>H<sub>7</sub>NO<sub>2</sub>","107-95-9",906793,"89.094","nd, orth pr (al)","200 dec",,,"1.437<sup>19</sup>",,"890<sup>25</sup>",,"s H<sub>2</sub>O; sl EtOH; i eth, ace",
144,"Alantolactone",,"C<sub>15</sub>H<sub>20</sub>O<sub>2</sub>","546-43-0",13423,"232.319","nd",76,275,,,,,,"vs bz, eth, EtOH, chl",
145,"Aldicarb","2-Methyl-2-(methylthio)propanal, <i>O</i>-[(methylamino)carbonyl]oxime","C<sub>7</sub>H<sub>14</sub>N<sub>2</sub>O<sub>2</sub>S","116-06-3",,"190.263",,"101.1(4)",,,"1.195<sup>25</sup>",,"6.0<sup>20</sup>",,,
146,"Aldosterone",,"C<sub>21</sub>H<sub>28</sub>O<sub>5</sub>","52-39-1",3224996,"360.444","cry (HOAc)","166.5",,,,,,,,
147,"Aldoxycarb <i>S,S</i>-dioxide","2-Methyl-2-(methylthio)propanal, <i>O</i>-[(methylamino)carbonyl]oxime <i>S,S</i>-dioxide","C<sub>7</sub>H<sub>14</sub>N<sub>2</sub>O<sub>4</sub>S","1646-88-4",,"222.262","cry",141,,,,,,,"sl H<sub>2</sub>O",
148,"Aldrin",,"C<sub>12</sub>H<sub>8</sub>Cl<sub>6</sub>","309-00-2",2336652,"364.910",,"103.8(3)",,,,,"0.0002<sup>25</sup>",,"i H<sub>2</sub>O; s EtOH, eth, ace, bz",
149,"Alizarin Red S","Sodium alizarinesulfonate","C<sub>14</sub>H<sub>7</sub>NaO<sub>7</sub>S","130-22-3",,"342.257",,,,,,,,,"vs H<sub>2</sub>O; s EtOH",
150,"Alizarin Yellow R",,"C<sub>13</sub>H<sub>9</sub>N<sub>3</sub>O<sub>5</sub>","2243-76-7",962365,"287.227","oran-br nd (dil HOAc)","253 dec",,,,,,,"vs H<sub>2</sub>O, EtOH",
