Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
551,"(Azidomethyl)benzene",,"C<sub>7</sub>H<sub>7</sub>N<sub>3</sub>","622-79-7",1907583,"133.151",,,,"108<sup>23</sup>, 78<sup>12</sup>","1.0730<sup>19</sup>","1.5341<sup>25</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth",
552,"Azinphos ethyl",,"C<sub>12</sub>H<sub>16</sub>N<sub>3</sub>O<sub>3</sub>PS<sub>2</sub>","2642-71-9",,"345.377","nd","51.3(5)",,"111<sup>0.001</sup>","1.284<sup>20</sup>",,,,"reac alk",
553,"Azinphos-methyl",,"C<sub>10</sub>H<sub>12</sub>N<sub>3</sub>O<sub>3</sub>PS<sub>2</sub>","86-50-0",,"317.324",,"72(2)",,,"1.44<sup>20</sup>",,"0.0209<sup>20</sup>",,,
554,"1-Aziridineethanol",,"C<sub>4</sub>H<sub>9</sub>NO","1072-52-2",102514,"87.120",,,168,,"1.088<sup>25</sup>","1.4560<sup>20</sup>",,,,
555,"<i>cis</i>-Azobenzene","<i>cis</i>-Diphenyldiazene","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>","1080-16-6",956888,"182.220","oran-red pl (peth)","71.6(4)",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz, HOAc, lig",
556,"<i>trans</i>-Azobenzene","<i>trans</i>-Diphenyldiazene","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>","17082-12-1",742610,"182.220","oran-red mcl lf (al)","67.88(3)","300.0(6)",,"1.203<sup>20</sup>","1.6266<sup>78</sup>","0.3<sup>20</sup>",,"sl H<sub>2</sub>O; s EtOH, eth, bz, chl; vs py",
557,"3,3'-Azobenzenedisulfonyl chloride",,"C<sub>12</sub>H<sub>8</sub>Cl<sub>2</sub>N<sub>2</sub>O<sub>4</sub>S<sub>2</sub>","104115-88-0",699413,"379.239","red nd (eth)","166.5",,,,,,,"vs eth",
558,"1,1'-Azobiscyclohexanecarbonitrile",,"C<sub>14</sub>H<sub>20</sub>N<sub>4</sub>","2094-98-6",960744,"244.336",,100,,,,,,,"i H<sub>2</sub>O; s lig",
559,"2,2'-Azobis[isobutyronitrile]","2,2'-Azobis[2-methylpropionitrile]","C<sub>8</sub>H<sub>12</sub>N<sub>4</sub>","78-67-1",1708400,"164.208",,,,,,,,,"i H<sub>2</sub>O; sl EtOH, eth",
560,"Azobutane",,"C<sub>8</sub>H<sub>18</sub>N<sub>2</sub>","2159-75-3",,"142.242",,,,"60<sup>18</sup>",,,,,,
561,"Azopropane",,"C<sub>6</sub>H<sub>14</sub>N<sub>2</sub>","821-67-0",,"114.188",,,114,,,,,,,
562,"<i>cis</i>-Azoxybenzene","Diphenyldiazene 1-oxide, (<i>E</i>)-","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>O","21650-65-7",957552,"198.219",,87,,,"1.166<sup>20</sup>","1.633<sup>20</sup>",,,,
563,"<i>trans</i>-Azoxybenzene","Diphenyldiazene 1-oxide, (<i>Z</i>)-","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>O","20972-43-4",,"198.219",,"34.6",,,"1.1590<sup>26</sup>",,,,"i H<sub>2</sub>O; s EtOH, eth",
564,"Azoxyethane","Diethyldiazine 1-oxide","C<sub>4</sub>H<sub>10</sub>N<sub>2</sub>O","16301-26-1",,"102.134","liq",,46,,,,,,,
565,"Azulene","Bicyclo[5.3.0]decapentaene","C<sub>10</sub>H<sub>8</sub>","275-51-4",969517,"128.171","bl or gr-blk lf (al)",99,"249.0(5)","125<sup>10</sup>",,,,"0.001","i H<sub>2</sub>O; s EtOH, eth, ace, acid; sl chl",
