Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
1,"Abate","Temephos","C<sub>16</sub>H<sub>20</sub>O<sub>6</sub>P<sub>2</sub>S<sub>3</sub>","3383-96-8",,"466.469","cry","31.6(5)",,,"1.32",,,,"sl H<sub>2</sub>O, hx; s ctc, eth, tol",
2,"Abietic acid","Sylvic acid","C<sub>20</sub>H<sub>30</sub>O<sub>2</sub>","514-10-3",2221451,"302.451","mcl pl (al-w)","173.5","439.5","250<sup>9</sup>","1.06<sup>25</sup>",,,,"vs ace, bz, eth, EtOH",
3,"Abscisic acid",,"C<sub>15</sub>H<sub>20</sub>O<sub>4</sub>","21293-29-8",2698956,"264.318","cry (chl-peth)",160,"120 subl",,,,,,"vs ace, eth, chl",
4,"Acacetin","5,7-Dihydroxy-2-(4-methoxyphenyl)-4<i>H</i>-1-benzopyran-4-one","C<sub>16</sub>H<sub>12</sub>O<sub>5</sub>","480-44-4",277879,"284.263","ye nd (95% al)",263,,,,,,,"vs EtOH",
5,"Acebutolol, (±)-",,"C<sub>18</sub>H<sub>28</sub>N<sub>2</sub>O<sub>4</sub>","37517-30-9",,"336.426","cry",121,,,,,,,,
6,"Acedapsone",,"C<sub>16</sub>H<sub>16</sub>N<sub>2</sub>O<sub>4</sub>S","77-46-3",2164071,"332.374","pa ye nd (eth) lf (dil al)",290,,,,,,,"sl H<sub>2</sub>O",
7,"Acenaphthene","1,2-Dihydroacenaphthylene","C<sub>12</sub>H<sub>10</sub>","83-32-9",386081,"154.207",,"93(2)","277.5(8)",,"1.222<sup>20</sup>","1.6048<sup>95</sup>","0.00380<sup>25</sup>",,"i H<sub>2</sub>O; sl EtOH, chl; vs bz; s HOAc",
8,"Acenaphthylene","Acenaphthalene","C<sub>12</sub>H<sub>8</sub>","208-96-8",774092,"152.192",,"89.4(3)",280,,"0.8987<sup>16</sup>",,"0.016<sup>20</sup>","0.001","i H<sub>2</sub>O; vs EtOH, eth, bz; sl chl",
9,"1,2-Acenaphthylenedione",,"C<sub>12</sub>H<sub>6</sub>O<sub>2</sub>","82-86-0",879172,"182.175","ye nd (HOAc)","259(9)","subl",,"1.4800<sup>20</sup>",,,,"i H<sub>2</sub>O; sl EtOH, bz, HOAc; s lig",
10,"Acenocoumarol","Nicoumalone","C<sub>19</sub>H<sub>15</sub>NO<sub>6</sub>","152-72-7",,"353.325","cry (ace aq)",198,,,,,,,"i H<sub>2</sub>O",
11,"Acephate","Phosphoramidothioic acid, acetyl-, <i>O,S</i>-dimethyl ester","C<sub>4</sub>H<sub>10</sub>NO<sub>3</sub>PS","30560-19-1",,"183.166",,"92.0(5)",,,"1.35<sup>20</sup>",,"≈390<sup>20</sup>",,,
12,"Acepromazine","1-[10-[3-(Dimethylamino)propyl]-10<i>H</i>-phenothiazin-2-yl]ethanone","C<sub>19</sub>H<sub>22</sub>N<sub>2</sub>OS","61-00-7",40187,"326.455","oran oil",,,"230<sup>0.5</sup>",,,,,,
13,"Acesulfame",,"C<sub>4</sub>H<sub>5</sub>NO<sub>4</sub>S","33665-90-6",,"163.153","nd (bz)","123.2",,,,,,,"s bz, chl",
14,"Acetaldehyde","Ethanal","C<sub>2</sub>H<sub>4</sub>O","75-07-0",505984,"44.052","vol liq or gas","-123.4(7)","20.8(6)",,"0.7834<sup>18</sup>","1.3316<sup>20</sup>",,120,"msc H<sub>2</sub>O, EtOH, eth, bz; sl chl",
15,"Acetaldehyde phenylhydrazone",,"C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>","935-07-9",,"134.178",,"99.5",,"150<sup>40</sup>, 135<sup>21</sup>",,,,,"vs EtOH",
16,"Acetaldoxime","Acetaldehyde oxime","C<sub>2</sub>H<sub>5</sub>NO","107-29-9",1209252,"59.067","nd","25(1)","115.24(10)",,"0.9656<sup>20</sup>","1.4264<sup>20</sup>",,,"s H<sub>2</sub>O, chl; msc EtOH, eth",
17,"Acetamide","Ethanamide","C<sub>2</sub>H<sub>5</sub>NO","60-35-5",1071207,"59.067","trg mcl (al-eth)","80.16(4)","222.0",,"0.9986<sup>85</sup>","1.4278","689<sup>20</sup>",,"vs H<sub>2</sub>O, EtOH",
18,"Acetanilide","<i>N</i>-Phenylacetamide","C<sub>8</sub>H<sub>9</sub>NO","103-84-4",606468,"135.163",,"114.35(4)","292(9)",,"1.2190<sup>15</sup>",,"5.2<sup>20</sup>",,"sl H<sub>2</sub>O; vs EtOH, ace; s eth, s bz, tol",
19,"Acetazolamide","<i>N</i>-[5-(Aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide","C<sub>4</sub>H<sub>6</sub>N<sub>4</sub>O<sub>3</sub>S<sub>2</sub>","59-66-5",212994,"222.246",,"260.5",,,,,"1.0<sup>30</sup>",,"sl H<sub>2</sub>O",
