Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
401,"1-Amino-2-propanol","Isopropanolamine","C<sub>3</sub>H<sub>9</sub>NO","1674-56-2",1718870,"75.109",,"1.7(2)","141(12)",,"0.9611<sup>20</sup>","1.4479<sup>20</sup>",,"0.165","msc H<sub>2</sub>O, EtOH, eth, ace, bz, ctc",
402,"α-(1-Aminopropyl)benzenemethanol","α-(α-Aminopropyl)benzyl alcohol","C<sub>10</sub>H<sub>15</sub>NO","5897-76-7",,"165.232","pl (bz-eth)","79.5",,,,,,,,
403,"<i>N</i>-(3-Aminopropyl)-<i>N</i>-methyl-1,3-propanediamine",,"C<sub>7</sub>H<sub>19</sub>N<sub>3</sub>","105-83-9",1737155,"145.246",,,"232(3)","112<sup>6</sup>","0.9023<sup>20</sup>","1.4705<sup>25</sup>",,,,
404,"Aminopropylon",,"C<sub>16</sub>H<sub>22</sub>N<sub>4</sub>O<sub>2</sub>","3690-04-8",38137,"302.372","pr (bz)",181,,,,,,,"vs H<sub>2</sub>O",
405,"4-(2-Aminopropyl)phenol, (±)-","Hydroxyamphetamine","C<sub>9</sub>H<sub>13</sub>NO","1518-86-1",3197507,"151.205","cry (bz)","125.5",,,,,,,"s H<sub>2</sub>O, EtOH, bz, chl, AcOEt",
406,"<i>N</i>-(3-Aminopropyl)-1,3-propanediamine","Bis(3-aminopropyl)amine","C<sub>6</sub>H<sub>17</sub>N<sub>3</sub>","56-18-8",1071254,"131.219",,"-5.1(3)",,"151<sup>50</sup>","0.938<sup>25</sup>","1.4810<sup>20</sup>",,,"s chl",
407,"Aminopterin",,"C<sub>19</sub>H<sub>20</sub>N<sub>8</sub>O<sub>5</sub>","54-62-6",,"440.413","ye cry","262 dec",,,,,,,,
408,"4-Amino-<i>N</i>-pyrazinylbenzenesulfonamide","Sulfapyrazine","C<sub>10</sub>H<sub>10</sub>N<sub>4</sub>O<sub>2</sub>S","116-44-9",235481,"250.277","nd (PhNO<sub>2</sub>)",251,,,,,,,"i H<sub>2</sub>O, EtOH, eth, bz, chl; s py; sl ace",
409,"3-Amino-1<i>H</i>-pyrazole-4-carbonitrile","3-Amino-4-cyanopyrazole","C<sub>4</sub>H<sub>4</sub>N<sub>4</sub>","16617-46-2",2647,"108.102","cry (w)",173,,,,,,,,
410,"2-Amino-3-pyridinecarboxylic acid",,"C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","5345-47-1",119031,"138.124",,"296 dec",,,,,,,"sl H<sub>2</sub>O",
411,"6-Amino-3-pyridinecarboxylic acid","6-Aminonicotinic acid","C<sub>6</sub>H<sub>6</sub>N<sub>2</sub>O<sub>2</sub>","3167-49-5",115992,"138.124","cry (dil HOAc, +2w)",312,,,,,,,,
412,"4-Amino-<i>N</i>-2-pyridinylbenzenesulfonamide","Sulfapyridine","C<sub>11</sub>H<sub>11</sub>N<sub>3</sub>O<sub>2</sub>S","144-83-2",222065,"249.289","ye oran (al)","190(2)",,,,,,,"i H<sub>2</sub>O, bz, ctc; s EtOH",
413,"5-Amino-2,4(1<i>H</i>,3<i>H</i>)-pyrimidinedione","5-Aminouracil","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","932-52-5",127250,"127.102","nd (w)","dec",,,,,,,"i H<sub>2</sub>O; s alk, acid",
414,"6-Amino-2,4(1<i>H</i>,3<i>H</i>)-pyrimidinedione",,"C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>2</sub>","873-83-6",120491,"127.102","cry (w)","dec",,,,,,,"vs H<sub>2</sub>O",
415,"4-Amino-2(1<i>H</i>)-pyrimidinethione","2-Thiocytosine","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>S","333-49-3",112435,"127.168",,,,,,,,,"sl DMSO",
416,"5-Amino-2,4,6(1<i>H</i>,3<i>H</i>,5<i>H</i>)-pyrimidinetrione","Uramil","C<sub>4</sub>H<sub>5</sub>N<sub>3</sub>O<sub>3</sub>","118-78-5",6178,"143.101","nd or pl (w)",">400",,,,,,,"s H<sub>2</sub>O, chl; i eth, bz",
417,"4-Amino-<i>N</i>-2-pyrimidinylbenzenesulfonamide","Sulfadiazine","C<sub>10</sub>H<sub>10</sub>N<sub>4</sub>O<sub>2</sub>S","68-35-9",235192,"250.277","cry (w), wh pow","261(3)",,,,,,,"sl H<sub>2</sub>O, EtOH, ace, DMSO",
418,"Aminopyrine","4-(Dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-3<i>H</i>-pyrazol-3-one","C<sub>13</sub>H<sub>17</sub>N<sub>3</sub>O","58-15-1",195296,"231.293","pr or pl (lig or AcOEt)","107.5",,,,,"50<sup>25</sup>",,"vs H<sub>2</sub>O, bz, EtOH",
419,"4-Amino-<i>N</i>-2-quinoxalinylbenzenesulfonamide","Sulfaquinoxaline","C<sub>14</sub>H<sub>12</sub>N<sub>4</sub>O<sub>2</sub>S","59-40-5",290026,"300.336",,"247.5",,,,,,,"sl H<sub>2</sub>O, EtOH, ace; s aq alk",
420,"4-(Aminosulfonyl)benzoic acid","Carzenide","C<sub>7</sub>H<sub>7</sub>NO<sub>4</sub>S","138-41-0",1875393,"201.201","pr or lf (w)","291 dec",,,,,,,"i H<sub>2</sub>O; vs EtOH; sl eth; i bz",
421,"<i>N</i>-[4-(Aminosulfonyl)phenyl]acetamide","Acetylsulfanilamide","C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O<sub>3</sub>S","121-61-9",746675,"214.241","nd (HOAc)","219.5",,,,,,,"s H<sub>2</sub>O, EtOH, ace",
422,"5-Amino-1,3,4-thiadiazole-2(3<i>H</i>)-thione",,"C<sub>2</sub>H<sub>3</sub>N<sub>3</sub>S<sub>2</sub>","2349-67-9",81728,"133.195",,"243.0",,,,,,,,
