Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
301,"1-Aminoethanol","Acetaldehyde ammonia","C<sub>2</sub>H<sub>7</sub>NO","75-39-8",1900185,"61.083","orth (eth-al)",97,"110 dec",,,,,,"s H<sub>2</sub>O; sl eth",
302,"2-(2-Aminoethoxy)ethanol","Diglycolamine","C<sub>4</sub>H<sub>11</sub>NO<sub>2</sub>","929-06-6",,"105.136",,"-12.5","223.1(1)",,"1.0572<sup>20</sup>",,,,,
303,"<i>N</i>-(2-Aminoethyl)acetamide",,"C<sub>4</sub>H<sub>10</sub>N<sub>2</sub>O","1001-53-2",1743120,"102.134",,51,,,,,,,"s H<sub>2</sub>O, EtOH, bz; i eth",
304,"6-Amino-3-ethyl-1-allyl-2,4(1<i>H</i>,3<i>H</i>)-pyrimidinedione","Aminometradine","C<sub>9</sub>H<sub>13</sub>N<sub>3</sub>O<sub>2</sub>","642-44-4",175533,"195.218","cry (+1w, w)",143,,,,,,,,
305,"1-[(2-Aminoethyl)amino]-2-propanol","<i>N</i>-(2-Hydroxypropyl)ethylenediamine","C<sub>5</sub>H<sub>14</sub>N<sub>2</sub>O","123-84-2",1734090,"118.177",,,,"94<sup>3</sup>","0.9837<sup>25</sup>","1.4738<sup>20</sup>",,,,
306,"4-(2-Aminoethyl)-1,2-benzenediol, hydrochloride","Dopamine hydrochloride","C<sub>8</sub>H<sub>12</sub>ClNO<sub>2</sub>","62-31-7",3656720,"189.640","nd (w)","241 dec",,,,,,,"vs H<sub>2</sub>O, MeOH",
307,"α-(1-Aminoethyl)benzenemethanol, [<i>S</i>-(<i>R</i>*,<i>R</i>*)]-",,"C<sub>9</sub>H<sub>13</sub>NO","492-39-7",2802895,"151.205","pl(MeOH)","77.5",,,,,,,"vs eth, EtOH, chl",
308,"α-(1-Aminoethyl)benzenemethanol, hydrochloride",,"C<sub>9</sub>H<sub>14</sub>ClNO","53631-70-2",3656420,"187.666",,"198.5",,,,,,,"s H<sub>2</sub>O",
309,"<i>N</i>-(2-Aminoethyl)ethanolamine",,"C<sub>4</sub>H<sub>12</sub>N<sub>2</sub>O","111-41-1",506012,"104.150",,,"242(5)","105<sup>10</sup>","1.0286<sup>20</sup>","1.4863<sup>20</sup>",,,"msc H<sub>2</sub>O, EtOH; s ace; sl bz, lig",
310,"4-(2-Aminoethyl)phenol","Tyramine","C<sub>8</sub>H<sub>11</sub>NO","51-67-2",1099914,"137.179","pl or nd (bz, w), cry (al)","164.5",,"206<sup>25</sup>",,,"10.4<sup>15</sup>",,"sl H<sub>2</sub>O, bz, DMSO; s EtOH, xyl; i tol",
311,"<i>N</i>-(2-Aminoethyl)-1,3-propanediamine","<i>N</i>-(3-Aminopropyl)ethylenediamine","C<sub>5</sub>H<sub>15</sub>N<sub>3</sub>","13531-52-7",2203013,"117.193",,,,"87<sup>3</sup>",,"1.4805<sup>25</sup>",,,,
