Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
851,"δ2,2'(3<i>H</i>,3'<i>H</i>)-Bibenzo[<i>b</i>]thiophene-3,3'-dione","Durindone Red","C<sub>16</sub>H<sub>8</sub>O<sub>2</sub>S<sub>2</sub>","522-75-8",88277,"296.364","br nd (xyl) red mcl nd (bz)",359,"subl",,,,,,"i H<sub>2</sub>O, EtOH; sl chl, CS<sub>2</sub>; s bz, xyl",
852,"Bicyclo[2.2.1]heptane",,"C<sub>7</sub>H<sub>12</sub>","279-23-2",1900379,"96.170",,"87.3(6)","107(6)",,,,,,"vs ace, bz, eth, EtOH",
853,"Bicyclo[4.1.0]heptane","Norcarane","C<sub>7</sub>H<sub>12</sub>","286-08-8",2035920,"96.170",,,"113.8(3)",,"0.853<sup>25</sup>","1.4564<sup>20</sup>",,,,
854,"Bicyclo[2.2.1]heptan-2-one",,"C<sub>7</sub>H<sub>10</sub>O","497-38-1",1209657,"110.153",,"98.0(5)",170,,,,,,,
855,"Bicyclo[2.2.1]hept-2-ene",,"C<sub>7</sub>H<sub>10</sub>","498-66-8",1098544,"94.154",,"46.2(7)","95.69(8)",,,,,,,
856,"Bicyclo[2.2.1]hept-5-ene-2-carbonitrile",,"C<sub>8</sub>H<sub>9</sub>N","95-11-4",2042173,"119.164",,13,,"84<sup>10</sup>","0.999<sup>25</sup>","1.4885<sup>20</sup>",,,,
857,"Bicyclo[2.2.1]hept-5-ene-2-carboxaldehyde",,"C<sub>8</sub>H<sub>10</sub>O","5453-80-5",1363813,"122.164",,,,"71<sup>20</sup>","1.018<sup>25</sup>","1.4893<sup>20</sup>",,,,
858,"Bicyclo[2.2.1]hept-5-ene-2-methanol",,"C<sub>8</sub>H<sub>12</sub>O","95-12-5",,"124.180",,,,"103<sup>20</sup>",,,,,,
859,"[1,1'-Bicyclohexyl]-2-one","2-Cyclohexylcyclohexanone","C<sub>12</sub>H<sub>20</sub>O","90-42-6",1865785,"180.286","liq","-32",264,,"0.9696<sup>25</sup>","1.4877<sup>25</sup>",,,,
860,"1,1'-Bicyclopentyl",,"C<sub>10</sub>H<sub>18</sub>","1636-39-1",2036249,"138.250",,,"190.46(3)",,,,,,"s ctc, CS<sub>2</sub>",
861,"[1,1'-Bicyclopentyl]-2-ol","2-Hydroxybicyclopentyl","C<sub>10</sub>H<sub>18</sub>O","4884-25-7",,"154.249",,20,"233(11)",,"0.9785<sup>15</sup>","1.4884<sup>17</sup>",,,,
862,"[1,1'-Bicyclopentyl]-2-one",,"C<sub>10</sub>H<sub>16</sub>O","4884-24-6",1306869,"152.233","liq","-13","232.5",,"0.9745<sup>21</sup>","1.4763",,,,
863,"Bifenox","Methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate","C<sub>14</sub>H<sub>9</sub>Cl<sub>2</sub>NO<sub>5</sub>","42576-02-3",,"342.131",,"86.1(5)",,,,,,,,
864,"Bifenthrin",,"C<sub>23</sub>H<sub>22</sub>ClF<sub>3</sub>O<sub>2</sub>","82657-04-3",,"422.868",,69,,,"1.2<sup>125</sup>",,"0.0001<sup>25</sup>",,,
865,"Biguanide","Imidodicarbonimidic diamide","C<sub>2</sub>H<sub>7</sub>N<sub>5</sub>","56-03-1",507183,"101.111","pr or nd (al)",136,"142 dec",,,,,,"vs H<sub>2</sub>O; s EtOH; i bz, chl",
866,"Bikhaconitine","3-Deoxypseudaconitine","C<sub>36</sub>H<sub>51</sub>NO<sub>11</sub>","6078-26-8",75170,"673.790",,164,,,,,,,"vs eth, EtOH, chl",
867,"Bilirubin",,"C<sub>33</sub>H<sub>36</sub>N<sub>4</sub>O<sub>6</sub>","635-65-4",74376,"584.662","red mcl pr or pl (chl)",,,,,,,,"i H<sub>2</sub>O; sl EtOH, eth; s bz, chl",
868,"Biliverdine","Dehydrobilirubin","C<sub>33</sub>H<sub>34</sub>N<sub>4</sub>O<sub>6</sub>","114-25-0",74351,"582.646","dk grn pl or pr (MeOH)",">300",,,,,,,"i H<sub>2</sub>O; s EtOH, bz; sl eth, chl, CS<sub>2</sub>",
869,"Binapacryl","3-Methyl-2-butenoic acid, 2-<i>sec</i>-butyl-4,6-dinitrophenyl ester","C<sub>15</sub>H<sub>18</sub>N<sub>2</sub>O<sub>6</sub>","485-31-4",,"322.313",,"70.6(5)",,,"1.27<sup>20</sup>",,,,,
870,"1,1'-Binaphthalene","1,1'-Binaphthyl","C<sub>20</sub>H<sub>14</sub>","604-53-5",1871233,"254.325","(i) pl(HOAc) (ii) orth (peth)","159(12)",">360","240<sup>12</sup>","1.3000<sup>20</sup>",,,,"i H<sub>2</sub>O; sl EtOH; s eth, ace, bz, CS<sub>2</sub>",
871,"2,2'-Binaphthalene",,"C<sub>20</sub>H<sub>14</sub>","612-78-2",1871245,"254.325","bl flr pl (al)","188.1(10)","452(26)",,,,,,"i H<sub>2</sub>O; sl EtOH; s eth, bz, CS<sub>2</sub>",
872,"[1,1'-Binaphthalene]-2,2'-diol",,"C<sub>20</sub>H<sub>14</sub>O<sub>2</sub>","602-09-5",997518,"286.324","nd (al), cry (w)",220,,,,,,,"i H<sub>2</sub>O; s EtOH, eth, alk; sl chl",
873,"Biotin","Coenzyme R","C<sub>10</sub>H<sub>16</sub>N<sub>2</sub>O<sub>3</sub>S","58-85-5",86838,"244.310","nd (w)","232 dec",,,,,"0.35<sup>25</sup>",,"s H<sub>2</sub>O, EtOH; sl eth, chl",
874,"2,2'-Bioxirane","Diepoxybutane","C<sub>4</sub>H<sub>6</sub>O<sub>2</sub>","1464-53-5",79831,"86.090","liq","2.0",144,,"1.113<sup>20</sup>","1.435<sup>20</sup>",,,"vs H<sub>2</sub>O, EtOH",
875,"Biphenyl","Diphenyl","C<sub>12</sub>H<sub>10</sub>","92-52-4",1634058,"154.207","lf (dil al)","68.93(2)","255.2(3)",,"1.04<sup>20</sup>","1.588<sup>77</sup>","0.0054<sup>25</sup>",,"i H<sub>2</sub>O; s EtOH, eth; vs bz, ctc, MeOH",
876,"[1,1'-Biphenyl]-4-acetic acid","Felbinac","C<sub>14</sub>H<sub>12</sub>O<sub>2</sub>","5728-52-9",1211592,"212.244",,"160.5",,,,,,,,
877,"[1,1'-Biphenyl]-4-carbonitrile",,"C<sub>13</sub>H<sub>9</sub>N","2920-38-9",1907924,"179.217",,88,,"190<sup>20</sup>",,,,,"i H<sub>2</sub>O; vs EtOH, eth",
878,"[1,1'-Biphenyl]-4-carbonyl chloride",,"C<sub>13</sub>H<sub>9</sub>ClO","14002-51-8",472842,"216.662",,111,,"160<sup>2</sup>",,,,,,
879,"[1,1'-Biphenyl]-2,2'-diamine",,"C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>","1454-80-4",1949579,"184.236","pr or nd (al)",81,,"162<sup>4</sup>","1.3090<sup>20</sup>",,,,"s H<sub>2</sub>O, ace, bz",
880,"[1,1'-Biphenyl]-2,4'-diamine","2,4'-Biphenyldiamine","C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>","492-17-1",2090325,"184.236","nd (dil al)","54.5",363,,,,,,"i H<sub>2</sub>O; s EtOH, eth",
881,"[1,1'-Biphenyl]-4,4'-diamine, dihydrochloride",,"C<sub>12</sub>H<sub>14</sub>Cl<sub>2</sub>N<sub>2</sub>","531-85-1",3914846,"257.158",,">300",,,,,,,,
882,"[1,1'-Biphenyl]-2,2'-dicarboxylic acid","<i>o</i>,<i>o'</i>-Diphenic acid","C<sub>14</sub>H<sub>10</sub>O<sub>4</sub>","482-05-3",2053625,"242.227","mcl pr or lf (w) cry (HOAc)","233.5","subl",,,,,,"i H<sub>2</sub>O; s EtOH, eth",
883,"[1,1'-Biphenyl]-2,2'-diol",,"C<sub>12</sub>H<sub>10</sub>O<sub>2</sub>","1806-29-7",1638363,"186.206",,"113.6(5)",320,,"1.3420<sup>20</sup>",,,,"s H<sub>2</sub>O, EtOH, eth, ace, bz; sl peth, chl",
884,"[1,1'-Biphenyl]-2,5-diol",,"C<sub>12</sub>H<sub>10</sub>O<sub>2</sub>","1079-21-6",1949429,"186.206","nd (dil al)","97.5",,,,,,,"vs EtOH",
885,"[1,1'-Biphenyl]-4,4'-diol",,"C<sub>12</sub>H<sub>10</sub>O<sub>2</sub>","92-88-6",1908886,"186.206",,"287.6(5)",,,,,,,"sl H<sub>2</sub>O, bz, DMSO; s EtOH, eth",
886,"[1,1'-Biphenyl]-4,4'-disulfonic acid",,"C<sub>12</sub>H<sub>10</sub>O<sub>6</sub>S<sub>2</sub>","5314-37-4",2703682,"314.333","pr","72.5",">200",,,,,,"vs H<sub>2</sub>O",
887,"[1,1'-Biphenyl]-3,3',4,4'-tetramine, tetrahydrochloride",,"C<sub>12</sub>H<sub>18</sub>Cl<sub>4</sub>N<sub>4</sub>","7411-49-6",,"360.110",,"245 dec",,,,,,,,
888,"[1,1'-Biphenyl]-3,3',5,5'-tetrol","Diresorcinol","C<sub>12</sub>H<sub>10</sub>O<sub>4</sub>","531-02-2",3281157,"218.205","pl or nd (w+2)",310,,,,,,,"vs H<sub>2</sub>O, eth, EtOH",
889,"<i>N</i>-[1,1'-Biphenyl]-4-ylacetamide",,"C<sub>14</sub>H<sub>13</sub>NO","4075-79-0",2097736,"211.259","cry (dil MeOH)","172.8",,,,,,,"i H<sub>2</sub>O; vs EtOH, ace, MeOH",
890,"1-[1,1'-Biphenyl]-4-ylethanone",,"C<sub>14</sub>H<sub>12</sub>O","92-91-1",1101615,"196.244","pr (ace), cry (al)",121,326,,"1.2510<sup>0</sup>",,,,"i H<sub>2</sub>O; vs EtOH, ace; sl chl",
891,"2-[1,1'-Biphenyl]-4-yl-5-phenyl-1,3,4-oxadiazole",,"C<sub>20</sub>H<sub>14</sub>N<sub>2</sub>O","852-38-0",252554,"298.337",,168,,,,,,,,
892,"2,2'-Bipyridine","α,α'-Dipyridyl","C<sub>10</sub>H<sub>8</sub>N<sub>2</sub>","366-18-7",113089,"156.184","pr (peth)","69.9(2)","273(10)",,,,"6.1<sup>25</sup>",,"sl H<sub>2</sub>O; vs EtOH, eth, bz, chl",
893,"2,3'-Bipyridine","2,3'-Bipyridyl","C<sub>10</sub>H<sub>8</sub>N<sub>2</sub>","581-50-0",113097,"156.184",,,"295.5",,"1.140<sup>20</sup>","1.6223<sup>20</sup>",,,"i H<sub>2</sub>O; vs EtOH, eth, bz, chl; sl peth",
894,"2,4'-Bipyridine","2,4'-Bipyridyl","C<sub>10</sub>H<sub>8</sub>N<sub>2</sub>","581-47-5",113077,"156.184",,"59.7(5)","283(11)",,,,,,"sl H<sub>2</sub>O; vs EtOH, eth, chl",
895,"3,3'-Bipyridine","3,3'-Bipyridyl","C<sub>10</sub>H<sub>8</sub>N<sub>2</sub>","581-46-4",113297,"156.184",,68,"291.5",,"1.1614<sup>20</sup>",,,,"vs H<sub>2</sub>O, EtOH; sl eth",
896,"4,4'-Bipyridine","γ,γ'-Dipyridyl","C<sub>10</sub>H<sub>8</sub>N<sub>2</sub>","553-26-4",113176,"156.184","nd (w+2)","104.4(5)",305,,,,,,"sl H<sub>2</sub>O; vs EtOH, bz, chl; s eth",
897,"2,2'-Biquinoline",,"C<sub>18</sub>H<sub>12</sub>N<sub>2</sub>","119-91-5",187259,"256.301","pl or lf (al)",196,,,,,"0.00102<sup>24</sup>",,"i H<sub>2</sub>O; vs EtOH; s eth, ace, bz",
898,"4,4'-Bis(acetoacetamido)-3,3'-dimethyl-1,1'-biphenyl","<i>N,N'</i>-Bis(acetoacetyl)-3,3'-dimethylbenzidine","C<sub>22</sub>H<sub>24</sub>N<sub>2</sub>O<sub>4</sub>","91-96-3",3110459,"380.437",,212,,,,,,,"sl DMSO",
899,"Bisacodyl",,"C<sub>22</sub>H<sub>19</sub>NO<sub>4</sub>","603-50-9",323727,"361.391",,"134(1)",,,,,,,,
900,"Bis(4-aminocyclohexyl)methane",,"C<sub>13</sub>H<sub>26</sub>N<sub>2</sub>","1761-71-3",2079179,"210.358",,15,320,,"0.92<sup>75</sup>",,,,,
